id;name;type_target;classification_id;classname;subclassname;valid_since;valid_until;point;line;polygon
19;"S Tiergarten";1;396;"public_transport";"stop_position";"2015-12-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3364598,52.5142085]}";"";""
20;"S Tiergarten";1;542;"railway";"station";"2015-12-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3364598,52.5142085]}";"";""
65;"Jakob-Kaiser-Platz";1;589;"highway";"motorway_junction";"2017-01-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2906741,52.533132]}";"";""
112;"S Pichelsberg";1;542;"railway";"station";"2016-03-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2275633,52.5102387]}";"";""
136;"S Schöneberg";1;583;"highway";"bus_stop";"2016-03-11";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3529104,52.4797246]}";"";""
137;"S Schöneberg";1;396;"public_transport";"stop_position";"2016-03-11";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3529104,52.4797246]}";"";""
201;"Dreieck Funkturm";1;589;"highway";"motorway_junction";"2016-12-12";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2806327,52.4998145]}";"";""
227;"Güterbahnhof Ruhleben";1;396;"public_transport";"stop_position";"2016-01-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2203799,52.528359]}";"";""
313;"Heinrichplatz";1;596;"highway";"traffic_signals";"2015-11-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4230709,52.5002346]}";"";""
346;"U Viktoria-Luise-Platz";1;542;"railway";"station";"2016-10-10";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3430829,52.4961527]}";"";""
358;"Abschnitt 33";1;242;"amenity";"police";"2014-10-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3536389,52.5336632]}";"";""
364;"U Heidelberger Platz";1;542;"railway";"station";"2016-11-14";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3126679,52.4795995]}";"";""
381;"S Karlshorst";1;396;"public_transport";"stop_position";"2016-10-16";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.526581,52.4808666]}";"";""
382;"S Karlshorst";1;527;"railway";"undefined";"2016-10-16";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.526581,52.4808666]}";"";""
403;"Buckower Ring";1;583;"highway";"bus_stop";"2015-12-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5655065,52.5255432]}";"";""
404;"Buckower Ring";1;396;"public_transport";"stop_position";"2015-12-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5655065,52.5255432]}";"";""
414;"Jan-Petersen-Straße";1;396;"public_transport";"stop_position";"2015-09-29";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5615496,52.5473777]}";"";""
502;"S Yorckstraße";1;396;"public_transport";"stop_position";"2015-12-19";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3720151,52.4914726]}";"";""
503;"S Yorckstraße";1;527;"railway";"undefined";"2015-12-19";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3720151,52.4914726]}";"";""
506;"S Oranienburger Straße";1;396;"public_transport";"stop_position";"2016-02-20";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3929072,52.5251727]}";"";""
507;"S Oranienburger Straße";1;527;"railway";"undefined";"2016-02-20";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3929072,52.5251727]}";"";""
686;"S Karlshorst/Wandlitzstraße";1;396;"public_transport";"stop_position";"2015-12-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5250814,52.4800533]}";"";""
687;"S Karlshorst/Wandlitzstraße";1;543;"railway";"tram_stop";"2015-12-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5250814,52.4800533]}";"";""
703;"U Ullsteinstraße";1;396;"public_transport";"stop_position";"2016-01-15";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3843233,52.4537104]}";"";""
711;"U Richard-Wagner-Platz";1;542;"railway";"station";"2016-08-05";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.306588,52.517387]}";"";""
736;"Straße 603";1;583;"highway";"bus_stop";"2016-05-31";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1510156,52.5442235]}";"";""
737;"Straße 603";1;396;"public_transport";"stop_position";"2016-05-31";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1510156,52.5442235]}";"";""
759;"Lindengarten";1;169;"amenity";"restaurant";"2015-07-17";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.350191,52.5394261]}";"";""
776;"U Paulsternstraße";1;542;"railway";"station";"2016-07-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2478072,52.5380134]}";"";""
782;"Rhinstraße/Gärtnerstraße";1;396;"public_transport";"stop_position";"2015-12-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5098241,52.5457177]}";"";""
783;"Rhinstraße/Gärtnerstraße";1;543;"railway";"tram_stop";"2015-12-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5098241,52.5457177]}";"";""
835;"Sprint";1;189;"amenity";"fuel";"2014-08-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3133258,52.4794844]}";"";""
854;"Starbucks Coffee";1;163;"amenity";"cafe";"2014-12-20";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3887381,52.5194029]}";"";""
871;"Berliner Mauerweg";1;347;"tourism";"information";"2014-04-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3469944,52.6263779]}";"";""
985;"Starbucks";1;163;"amenity";"cafe";"2015-12-14";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3900182,52.5110724]}";"";""
992;"Commerzbank";1;159;"amenity";"undefined";"2013-08-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3900196,52.5113556]}";"";""
996;"Las Olas";1;169;"amenity";"restaurant";"2014-11-29";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4120423,52.5242638]}";"";""
1014;"Australische Botschaft";1;232;"amenity";"embassy";"2016-01-02";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4093648,52.5122655]}";"";""
1030;"Kienhorststraße";1;583;"highway";"bus_stop";"2016-02-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.313109,52.5750263]}";"";""
1040;"Altglienicker Brücke";1;396;"public_transport";"stop_position";"2016-01-02";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5434826,52.4243267]}";"";""
1125;"Chris-Gueffroy-Allee";1;396;"public_transport";"stop_position";"2015-11-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4723135,52.4609081]}";"";""
1166;"Gerds Dorfkrug";1;168;"amenity";"pub";"2013-02-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3678085,52.5682636]}";"";""
1237;"Bürgerablage";1;396;"public_transport";"stop_position";"2016-02-05";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2073708,52.5842422]}";"";""
1249;"Bistro 63";1;165;"amenity";"fast_food";"2016-03-14";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5441205,52.525691]}";"";""
1330;"Virchow-Klinikum";1;396;"public_transport";"stop_position";"2016-01-03";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3395775,52.5439128]}";"";""
1331;"Virchow-Klinikum";1;543;"railway";"tram_stop";"2016-01-03";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3395775,52.5439128]}";"";""
1344;"Fröbelstraße";1;396;"public_transport";"stop_position";"2016-01-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4258608,52.5419292]}";"";""
1345;"Fröbelstraße";1;543;"railway";"tram_stop";"2016-01-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4258608,52.5419292]}";"";""
1393;"Unter den Birken";1;396;"public_transport";"stop_position";"2015-12-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5886074,52.4696309]}";"";""
1394;"Unter den Birken";1;543;"railway";"tram_stop";"2015-12-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5886074,52.4696309]}";"";""
1422;"Ledebourstraße";1;396;"public_transport";"stop_position";"2015-12-16";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.6096169,52.4937607]}";"";""
1423;"Ledebourstraße";1;543;"railway";"tram_stop";"2015-12-16";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.6096169,52.4937607]}";"";""
1426;"Rathenaustraße/Hochschule für Technik und Wirtschaft";1;396;"public_transport";"stop_position";"2015-12-28";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5258742,52.4587748]}";"";""
1427;"Rathenaustraße/Hochschule für Technik und Wirtschaft";1;543;"railway";"tram_stop";"2015-12-28";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5258742,52.4587748]}";"";""
1625;"City Toilette";1;254;"amenity";"toilets";"2016-06-29";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.464036,52.4702891]}";"";""
1645;"Poelchau-Oberschule";1;174;"amenity";"school";"2015-12-31";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2878835,52.5385753]}";"";""
